,Title,Year,Authors,Venue,URL,Group,Abstract,Keywords
62,On Discrete Frames Associated with Semidirect Products,2001,"Aniello P., Cassinelli G., De Vito E., Levrero A.",Journal of Fourier Analysis and Applications,https://doi.org/10.1007/bf02510424,CHarML,For groups which are the semidirect product of some vector group with a unimodular group we prove that the existence of a discrete frame obtained from an at-most countable set of vectors through the action of a given unitary representation implies that the representation in use has to be square-integrable.,
63,"SU(1,1) tomography",2001,"D'Ariano G.M., De Vito E., Maccone L.","Physical Review A. Atomic, Molecular, and Optical Physics",https://doi.org/10.1103/PhysRevA.64.033805,CHarML,"We present a tomographic reconstruction procedure that exploits the symmetry of the SU(1,1) group existing in some physical systems. The tomographic algorithm is derived analytically and the convergence of the procedure is tested on Monte Carlo simulated data.",
64,Teleportation and measurement,2001,"Busch P., Cassinelli G., De Vito E., Lahti P., Levrero A.","Physics Letters, Section A: General, Atomic and Solid State Physics",https://doi.org/10.1016/S0375-9601(01)00309-7,CHarML,We give a description of the teleportation of an  quantum state which takes into account the action of the measuring device and manifestly avoids any reference to the postulate of the state vector collapse.,"Quantum theory of measurement, Teleportation"
65,"Canonical subgroups of ℍ1 ⋊ SL(2, R)",2002,"De Mari F., Nowak K.",Bollettino della Unione Matematica Italiana B,https://eudml.org/doc/195503,CHarML, , 
66,Contact and conformal maps on iwasawa N groups,2002,"Cowling M., De Mari F., Korányi A., Reimann H.M.","Atti della Accademia Nazionale dei Lincei, Classe di Scienze Fisiche, Matematiche e Naturali, Rendiconti Lincei Matematica e Applicazioni",,CHarML,,
67,Covariant localizations in the torus and the phase observables,2002,"Cassinelli G., De Vito E., Lahti P., Pellonpää J.-P.",Journal of Mathematical Physics,https://doi.org/10.1063/1.1425958,CHarML,,
68,Hausdorff kernel for 3D object acquisition and detection,2002,"Barla A., Odone F., Verri A.",Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),https://doi.org/10.1007/3-540-47979-1_2,"LCSL, PiMLB, MLV","Learning one class at a time can be seen as an effective solution to classification problems in which only the positive examples are easily identifiable. A kernel method to accomplish this goal consists of a representation stage - which computes the smallest sphere in feature space enclosing the positive examples - and a classification stage - which uses the obtained sphere as a decision surface to determine the positivity of new examples. In this paper we describe a kernel well suited to represent, identify, and recognize 3D objects from unconstrained images. The kernel we introduce, based on Hausdorff distance, is tailored to deal with grey-level image matching. The effectiveness of the proposed method is demonstrated on several data sets of faces and objects of artistic relevance, like statues.","Kernel Method, Linear Kernel, Object Detection, Polynomial Kernel, Support Vector Machine"
69,Image kernels,2002,"Barla A., Franceschi E., Odone F., Verri A.",Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),https://doi.org/10.1007/3-540-45665-1_7,"LCSL, PiMLB, MLV","In this paper we discuss the mathematical properties of a few kernels specifically constructed for dealing with image data in binary classification and novelty detection problems. First, we show that histogram intersection is a Mercer’s kernel. Then, we show that a similarity measure based on the notion of Hausdorff distance and directly applicable to raw images, though not a Mercer’s kernel, is a kernel for novelty detection. Both kernels appear to be well suited for building effective vision-based learning systems.",
70,Kernel-based 3D object representation,2002,"Barla A., Odone F.",Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),https://doi.org/10.1007/3-540-46084-5_193,"LCSL, MLV ","In this paper we describe how kernel-based novelty detection can be used effectively to model 3D objects from unconstrained image sequences, in order to deal with object identification and recognition. In this framework, we introduce a similarity measure based on the Hausdorff distance, well suited to represent, identify, and recognize 3D objects from grey-level images. The effectiveness of the method is shown on the representation and identification of rigid 3D objects in cluttered environments.","Equal Error Rate, Feature Space, Receiver Operating Characteristic Curve, Similarity Measure, Support Vector Machine"
71,Layered representation of a video shot with mosaicing,2002,"Odone F., Fusiello A., Trucco E.",Pattern Analysis and Applications,https://doi.org/10.1007/s100440200026,MLV,": This paper presents a motion segmentation method useful for representing efficiently a video shot as a static mosaic of the background plus sequences of the objects moving in the foreground. This generates an MPEG-4 compliant, layered representation useful for video coding, editing and indexing. First, a mosaic of the static background is computed by estimating the dominant motion of the scene. This is achieved by tracking features over the video sequence and using a robust technique that discards features attached to the moving objects. The moving objects get removed in the final mosaic by computing the median of the grey levels. Then, segmentation is obtained by taking the pixelwise difference between each frame of the original sequence and the mosaic of the background. To discriminate between the moving object and noise, temporal coherence is exploited by tracking the object in the binarised difference image sequence. The automatic computation of the mosaic and the segmentation procedure are illustrated with real sequences experiments. Examples of coding and content-based manipulation are also shown.",
72,Learning and vision machines,2002,"Heisele B., Verri A., Poggio T.",Proceedings of the IEEE,https://doi.org/10.1109/JPROC.2002.801450,PiMLB,"The problem of learning is arguably at the very core of the problem of intelligence, both biological and artificial. In this paper we review our approach to the problem of visual perception based on supervised learning. After a brief presentation of the theoretical background, we focus on some of the engineering applications of statistical learning to computer vision and discuss the main open problems and directions of our future research.","Application software, Biological system modeling, Biology computing, Brain modeling, Computer vision, Machine learning, Neuroscience, Object recognition, Supervised learning, Visual perception"
73,Localization type Berezin-Toeplitz operators on bounded symmetric domains,2002,"De Mari F., Nowak K.",Journal of Geometric Analysis,https://doi.org/10.1007/BF02930858,CHarML, , 
74,Preface,2002,"Lee S.-W., Verri A.",Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),https://doi.org/10.1007/3-540-45665-1,PiMLB, , 
75,Regularization and statistical learning theory for data analysis,2002,"Evgeniou T., Poggio T., Pontil M., Verri A.",Computational Statistics and Data Analysis,https://doi.org/10.1016/S0167-9473(01)00069-X,PiMLB,"Problems of data analysis, like classification and regression, can be studied in the framework of Regularization Theory as ill-posed problems, or through Statistical Learning Theory in the learning-from-example paradigm. In this paper we highlight the connections between these two approaches and discuss techniques, like support vector machines and regularization networks, which can be justified in this theoretical framework and proved to be useful in a number of image analysis applications.","Image analysis applications, Regularization networks, Regularization theory, Statistical learning theory, Support vector machine"
76,Uniform eigenvalue estimates for time-frequency localization operators,2002,"De Mari F., Feichtinger H.G., Nowak K.",Journal of the London Mathematical Society,https://doi.org/10.1112/S0024610702003101,CHarML,"Time-variant filters based on Calderón and Gabor reproducing formulas are important tools in time-frequency analysis. The paper studies the behavior of the eigenvalues of these filters. Optimal two-sided estimates of the number of eigenvalues contained in the interval (δ1,δ2), where 0<δ1<δ2<1, are obtained. The estimates cover large classes of localization domains and generating functions.",
77,"A multimedia, multichannel, and personalized news provider",2003,"Delato M., Martelli A., Martelli M., Mascardi V., Verri A.",Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),https://doi.org/10.1007/978-3-540-40012-7_32,PiMLB,"The amount of news delivered by newspapers, television news broadcasts and web sites is increasing every day. Users looking for interesting news spend a lot of time in retrieving and filtering the right news from this massive amount of available information. For this reason, delivering highly personalized news is becoming more and more important for information providers which want to add value to their services. If the personalized news comes along with video, images and sound besides the basic text description and if it can be delivered to a large number of different hardware devices the added value is definitely increased. In this paper we discuss the architecture and preliminary development of a multimedia, multichannel and personalized news provider built on top of an existing prototypical system, ClickNews. The main contribution of our work lies in the analysis and experiments carried out to understand how well-established and emerging technologies can be integrated to boost news providers.","Content Provider, Multimedia Content, Multimedia Document, Proactive Personalization, Video Segmentation"
78,AW -Convergence and Well-Posedness of Non Convex Functions,2003,Villa S.,Journal of Convex Analysis,,LCSL, , 
79,Histogram intersection kernel for image classification,2003,"Barla A., Odone F., Verri A.",IEEE International Conference on Image Processing,https://ieeexplore.ieee.org/abstract/document/1247294,"LCSL, PiMLB, MLV","In this paper we address the problem of classifying images, by exploiting global features that describe color and illumination properties, and by using the statistical learning paradigm. The contribution of this paper is twofold. First, we show that histogram intersection has the required mathematical properties to be used as a kernel function for support vector machines (SVMs). Second, we give two examples of how a SVM, equipped with such a kernel, can achieve very promising results on image classification based on color information.","Computer vision, Histograms, Image classification, Kernel, Layout, Learning systems, Machine learning, Statistical learning, Support vector machine classification, Support vector machines"
80,Old fashioned state-of-the-art image classification,2003,"Barla A., Odone F., Verri A.","Proceedings - 12th International Conference on Image Analysis and Processing, ICIAP 2003",https://doi.org/10.1109/ICIAP.2003.1234110,"LCSL, PiMLB, MLV","In this paper we present a statistical learning scheme for image classification based on a mixture of old fashioned ideas and state of the art learning tools. We represent input images through large dimensional and usually sparse histograms which, depending on the task, are either color histograms or co-occurrence matrices. Support vector machines are trained on these sparse inputs directly, to solve problems like indoor/outdoor classification and cityscape retrieval from image databases. The experimental results indicate that the use of a kernel function derived from the computer vision literature leads to better recognition results than off the shelf kernels. According to our findings, it appears that image classification problems can be addressed with no need of explicit feature extraction or dimensionality reduction stages. We argue that this might be used as the starting point for developing image classification systems which can be easily tuned to a number of different tasks.","Histograms, Image classification, Image databases, Image retrieval, Information retrieval, Kernel, Sparse matrices, Statistical learning, Support vector machine classification, Support vector machines"
81,Positive operator valued measures covarlant with respect to an irreducible representation,2003,"Cassinelli G., De Vito E., Toigo A.",Journal of Mathematical Physics,https://doi.org/10.1063/1.1598277,CHarML, , 
82,Square-integrability modulo a subgroup,2003,"Cassinelli G., De Vito E.",Transactions of the American Mathematical Society,https://doi.org/10.1090/S0002-9947-02-03220-8,CHarML,"We prove a weak form of the Frobenius reciprocity theorem for locally compact groups. As a consequence, we propose a definition of square-integrable representation modulo a subgroup that clarifies the relations between coherent states, wavelet transforms and covariant localisation observables. A self-contained proof of the imprimitivity theorem for covariant positive operator-valued measures is given.","frame, localisation observable, Square-integrable representation"
83,Support vector machines for computer vision and pattern recognition,2003,"Lee S.-W., Verri A.",International Journal of Pattern Recognition and Artificial Intelligence,https://doi.org/10.1142/S0218001403002393,PiMLB,,
84,Are Loss Functions All the Same?,2004,"Rosasco L., De Vito E., Caponnetto A., Piana M., Verri A.",Neural Computation,https://doi.org/10.1162/089976604773135104,CHarML,"In this letter, we investigate the impact of choosing different loss functions from the viewpoint of statistical learning theory. We introduce a convexity assumption, which is met by all loss functions commonly used in the literature, and study how the bound on the estimation error changes with the loss. We also derive a general result on the minimizer of the expected risk for a convex loss function in the case of classification. The main outcome of our analysis is that for classification, the hinge loss appears to be the loss of choice. Other things being equal, the hinge loss leads to a convergence rate practically indistinguishable from the logistic loss rate and much better than the square loss rate. Furthermore, if the hypothesis space is sufficiently rich, the bounds obtained for the hinge loss are not loosened by the thresholding stage.",
85,Positive operator valued measures covariant with respect to an Abelian group,2004,"Cassinelli G., De Vito E., Toigo A.",Journal of Mathematical Physics,https://doi.org/10.1063/1.1631081,CHarML,,
86,Some properties of regularized kernel methods,2004,"De Vito E., Rosasco L., Caponnetto A., Piana M., Verri A.",Journal of Machine Learning Research,https://www.jmlr.org/papers/volume5/devito04a/devito04a.pdf,CHarML,"In regularized kernel methods, the solution of a learning problem is found by minimizing functionals consisting of the sum of a data and a complexity term. In this paper we investigate some properties of a more general form of the above functionals in which the data term corresponds to the expected risk. First, we prove a quantitative version of the representer theorem holding for both regression and classification, for both differentiable and non-differentiable loss functions, and for arbitrary offset terms. Second, we show that the case in which the offset space is non trivial corresponds to solving a standard problem of regularization in a Reproducing Kernel Hilbert Space in which the penalty term is given by a seminorm. Finally, we discuss the issues of existence and uniqueness of the solution. From the specialization of our analysis to the discrete setting it is immediate to establish a connection between the solution properties of sparsity and coefficient boundedness and some properties of the loss function. For the case of Support Vector Machines for classification, we also obtain a complete characterization of the whole method in terms of the Khun-Tucker conditions with no need to introduce the dual formulation.",
87,A classical tool revisited: Object detection by statistical testing,2005,"Franceschi E., Odone F., Smeraldi F., Verri A.",Proceedings of the SICE Annual Conference,http://www.eecs.qmul.ac.uk/~fabri/Publications/A_classical_tool_revisited_object_detection_by_statistical_testing/sice05.pdf,"MLV, PiMLB","We present a data–driven approach to feature selection and object detection based on hypothesis testing. Starting from positive training examples only, we estimate the probability density of each of a large number of image measurements. A quantitative feature selection criterion inspired by maximum likelihood is then used in conjunction with Spearman’s independence rank test to select a maximal subset of discriminative and pairwise independent features. Classiﬁcation is performed by a sequence of hypothesis tests for the presence of the object. The overall signiﬁcance level (i.e. the operating point) can be set by controlling the signiﬁcance level of the individual tests as well as the minimum number of them that a candidate window is required to pass. We report experiments on face detection over the MIT-CBCL database. The image measurements we use for these experiments include grey level values, integral measurements and ranklets. Our results indicate that the method is able to generalize from positive examples only and reaches state-of-the-art recognition rates.",
88,A novel Kernel method for clustering,2005,"Camastra F., Verri A.",IEEE Transactions on Pattern Analysis and Machine Intelligence,https://doi.org/10.1109/TPAMI.2005.88,PiMLB,"Kernel methods are algorithms that, by replacing the inner product with an appropriate positive definite function, implicitly perform a nonlinear mapping of the input data into a high-dimensional feature space. In this paper, we present a kernel method for clustering inspired by the classical k-means algorithm in which each cluster is iteratively refined using a one-class support vector machine. Our method, which can be easily implemented, compares favorably with respect to popular clustering algorithms, like k-means, neural gas, and self-organizing maps, on a synthetic data set and three UCI real data benchmarks (IRIS data, Wisconsin breast cancer database, Spam database).","Breast cancer, clustering algorithms, Clustering algorithms, EM algorithm, Index Terms- Kernel methods, Iris, Iterative algorithms, K-Means., Kernel, one class SVM, Quantization, Self organizing feature maps, Spatial databases, Support vector machine classification, Support vector machines"
89,An open system for 3D data acquisition from multiple sensor,2005,"Isgrò F., Odone F., Verri A.","Proceedings - International Workshop on Computer Architecture for Machine Perception, CAMP",https://ieeexplore.ieee.org/document/1508164,"MLV, PiMLB","This paper describes a work in progress on a multisensor system for 3D data acquisition. The system core structure is a 3D-range scan based on the well known active triangulation procedure and made of a camera, a laser light emitter and a software driven motor. The core system allows us to acquire dense point clouds of objects of about 50 cm. The system today hosts a second camera and thus is able to perform 3D reconstruction from two slightly different viewpoints and produce more dense point clouds. Also, since the motor can be driven back to the original position multiple scans can take place, to obtain smooth surfaces, and multiple information, such as texture and reliability measures. An alternative way of obtaining texture information is by means of a linear camera, also included in the system. We present results obtained with the current system, and describe extensions of the system in estimating noise and producing a more complex geometry description.","Cameras, Clouds, Data acquisition, Light emitting diodes, Multisensor systems, Open systems, Sensor systems, Surface emitting lasers, Surface reconstruction, Surface texture"
90,Building kernels from binary strings for image matching,2005,"Odone F., Barla A., Verri A.",IEEE Transactions on Image Processing,https://doi.org/10.1109/TIP.2004.840701,"MLV, PiMLB","In the statistical learning framework, the use of appropriate kernels may be the key for substantial improvement in solving a given problem. In essence, a kernel is a similarity measure between input points satisfying some mathematical requirements and possibly capturing the domain knowledge. We focus on kernels for images: we represent the image information content with binary strings and discuss various bitwise manipulations obtained using logical operators and convolution with nonbinary stencils. In the theoretical contribution of our work, we show that histogram intersection is a Mercer's kernel and we determine the modifications under which a similarity measure based on the notion of Hausdorff distance is also a Mercer's kernel. In both cases, we determine explicitly the mapping from input to feature space. The presented experimental results support the relevance of our analysis for developing effective trainable systems.","Computer vision, Convolution, Histograms, Image analysis, Image matching, Information analysis, Kernel, Learning systems, Signal analysis, Statistical learning"
91,Contact and conformal maps in: Parabolic geometry.,2005,"Cowling M., De Mari F., Korányi A., Reimann H.M.",Geometriae Dedicata,https://doi.org/10.1007/s10711-004-4231-8,CHarML, , 
92,Feature selection with nonparametric statistics,2005,"Franceschi E., Odone F., Smeraldi F., Verri A.","Proceedings - International Conference on Image Processing, ICIP",https://doi.org/10.1109/ICIP.2005.1529753,"MLV, PiMLB","In this paper we discuss a general framework for feature selection based on nonparametric statistics. The three stage approach we propose is based on the assumption that the available data set is representative of a certain concept and aims at learning from the data the selection of a subset of descriptive features out of a large pool of measurements. The first stage requires the computation of a large number of image features. Simple significance tests and the maximum likelihood principle are at the basis of the second stage in which a saliency measure is used to reject the features which do not appear to be descriptive of the given data set. The third and final stage, by using the Spearman independence rank test, selects a maximal number of pairwise independent features. We report experiments on a face dataset (the MIT-CBCL database) which confirm the quality and the potential of the approach.","Computer science, Fingerprint recognition, Image databases, Image representation, Maximum likelihood detection, Pattern recognition, Power measurement, Spatial databases, Statistics, Testing"
93,Large baseline matching of scale invariant features,2005,"Delponte E., Isgró F., Odone F., Verri A.",Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),https://doi.org/10.1007/11553595_97,"MLV, PiMLB","The problem of feature points matching between pair of views of the scene is one of the key problems in computer vision, because of the number of applications. In this paper we discuss an alternative version of an SVD matching algorithm earlier proposed in the literature. In the version proposed the original algorithm has been modified for coping with large baselines. The claim of improved performances for larger baselines is supported by experimental evidence.","Correct Match, Epipolar Line, Interest Point, Scale Invariant Feature Transform, Stereo Pair"
94,Learning from examples as an inverse problem,2005,"De Vito E., Rosasco L., Caponnetto A., De Giovannini U., Odone F.",Journal of Machine Learning Research,https://www.jmlr.org/papers/volume6/devito05a/devito05a.pdf,CHarML,"Many works related learning from examples to regularization techniques for inverse problems, emphasizing the strong algorithmic and conceptual analogy of certain learning algorithms with regularization algorithms. In particular it is well known that regularization schemes such as Tikhonov regularization can be effectively used in the context of learning and are closely related to algorithms such as support vector machines. Nevertheless the connection with inverse problem was considered only for the discrete (ﬁnite sample) problem and the probabilistic aspects of learning from examples were not taken into account. In this paper we provide a natural extension of such analysis to the continuous (population) case and study the interplay between the discrete and continuous problems. From a theoretical point of view, this allows to draw a clear connection between the consistency approach in learning theory and the stability convergence property in ill-posed inverse problems. The main mathematical result of the paper is a new probabilistic bound for the regularized least-squares algorithm. By means of standard results on the approximation term, the consistency of the algorithm easily follows.",
95,"Learning, regularization and ill-posed inverse problems",2005,"Rosasco L., Caponnetto A., De Vito E., De Giovannini U., Odone F.",Advances in Neural Information Processing Systems,https://proceedings.neurips.cc/paper/2004/file/33267e5dc58fad346e92471c43fcccdc-Paper.pdf,CHarML,,
96,Model selection for regularized least-squares algorithm in learning theory,2005,"De Vito E., Caponnetto A., Rosasco L.",Foundations of Computational Mathematics,https://doi.org/10.1007/s10208-004-0134-1,CHarML,"We investigate the problem of model selection for learning algorithms depending on a continuous parameter. We propose a model selection procedure based on a worst-case analysis and on a data-independent choice of the parameter. For the regularized least-squares algorithm we bound the generalization error of the solution by a quantity depending on a few known constants and we show that the corresponding model selection procedure reduces to solving a bias-variance problem. Under suitable smoothness conditions on the regression function, we estimate the optimal parameter as a function of the number of data and we prove that this choice ensures consistency of the algorithm.",
97,Statistical learning approaches with application to face detection,2005,"Franceschi E., Odone F., Verri A.",Lecture Notes in Computer Science,https://doi.org/10.1007/11493648_5,"MLV, PiMLB","We present a concise tutorial on statistical learning, the theoretical ground on which the learning from examples paradigm is based. We also discuss the problem of face detection as a case study illustrating the solutions proposed in this framework. Finally, we describe some new results we obtained by means of an object detection method based on statistical hypothesis tests which makes use of positive examples only.","Empirical Risk, Face Detection, Object Detection, Reproduce Kernel Hilbert Space, Support Vector Machine"
98,SVD-matching using SIFT features,2005,"Delponte E., Isgrò F., Odone F., Verri A.","Institute of Mathematics and its Applications - Vision, Video and Graphics 2005, VVG 2005",http://www.cs.ait.ac.th/~mdailey/cvreadings/Delponte-SIFT.pdf,"MLV, PiMLB","The paper tackles the problem of feature points matching between pair of images of the same scene. This is a key problem in computer vision. The method we discuss here is a version of the SVD-matching proposed by Scott and LonguetHiggins and later modiﬁed by Pilu, that we elaborate in order to cope with large scale variations. To this end we add to the feature detection phase a keypoint descriptor that is robust to large scale and view-point changes. Furthermore, we include this descriptor in the equations of the proximity matrix that is central to the SVD-matching. At the same time we remove from the proximity matrix all the information about the point locations in the image, that is the source of mismatches when the amount of scene variation increases. The main contribution of this work is in showing that this compact and easy algorithm can be used for severe scene variations. We present experimental evidence of the improved performance with respect to the previous versions of the algorithm.",
99,Web tools to support image classification,2005,"Odone F., Barla A., Franceschi E., Verri A.",Proceedings of SPIE - The International Society for Optical Engineering,https://doi.org/10.1117/12.586685,"MLV, PiMLB","Content-based image classification is a wide research field addressing the problem of categorizing images according to their content. A common way to approach content-based classification is through learning from examples --- a given class of images is described by means of a suitable training set of data. The main drawback of this approach is the fact that collecting data to build homogeneous training and validation sets is a boring and time consuming task, even if the Web can help providing a potentially inexhaustible source of images. In this paper we present a system to automatically download images from the Web and a selection of techniques useful to prune the images downloaded according to some criteria. These techniques work as filters at various degrees of complexity: some are simple measurements other are image classifiers themselves. We focus on two critical ones (monochrome <i>vs</i> color images and photos <i>vs</i> graphics) showing their effectiveness on a manually labeled validation set of data. We conclude the paper analyzing the overall performance of the system with an <i>a posteriori</i> analysis of the results obtained in a few run.",
100,Well-posedness of nonconvex integral functionals,2005,Villa S.,SIAM Journal on Control and Optimization,https://doi.org/10.1137/S0363012903437289,LCSL,"We find a sufficient condition which does not involve global convexity, guaranteeing well-posedness in a strong sense of the minimization of a multiple integral on the Sobolev space $W^{1,1}(\Omega;\mathbb{R}^m)$ with boundary datum equal to zero. In particular we apply our result to some nonconvex problems recently studied: functionals depending only on the gradient and radially symmetric functionals.","49A50, 49K40, calculus of variations, extreme points, nonconvex integrals, well-posedness"
101,Analysis on a local approach to 3D object recognition,2006,"Delponte E., Arnaud E., Odone F., Verri A.",Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),https://doi.org/10.1007/11861898_26,"MLV, PiMLB","We present a method for 3D object modeling and recognition which is robust to scale and illumination changes, and to viewpoint variations. The object model is derived from the local features extracted and tracked on an image sequence of the object. The recognition phase is based on an SVM classifier. We analyse in depth all the crucial steps of the method, and report very promising results on a dataset of 11 objects, that show how the method is also tolerant to occlusions and moderate scene clutter.","Local Approach, Main Orientation, Object Recognition, Sift Descriptor, Unscented Kalman Filter"
102,Analytic features of reproducing groups for the metaplectic representation,2006,"Cordero E., De Mari F., Nowak K., Tabacco A.",Journal of Fourier Analysis and Applications,https://doi.org/10.1007/s00041-005-5016-7,CHarML,"We introduce the notion of admissible subgroup $H$of$G={\mathbb H}^d\rtimes Sp(d,{\mathbb R})$relative to the (extended) metaplecticrepresentation $\mu_e$via the Wigner distribution. Under mildadditional assumptions, it is shown to be equivalent to the factthat the identity $f=\int_{H}\langle f,\mu_e(h)\phi\rangle\mu_e(h)\phi\;dh$holds (weakly) for all $f\in L^2({\mathbb R}^d).$We use this equivalence to exhibit classes of admissible subgroups of$Sp(2,{\mathbb R}).$We also establish some connections with wavelet theory,i.e., with curvelet and contourlet frames.",
103,Approximability of sliding modes and regularization,2006,"Levaggi L., Villa S.","Proceedings of the 2006 International Workshop on Variable Structure Systems, VSS'06",https://doi.org/10.1109/VSS.2006.1644512,LCSL,"Approximability of sliding motions for control systems governed by nonlinear finite-dimensional differential equations is considered. This regularity property is shown to be equivalent to Tikhonov well-posedness of a related minimisation problem in the context of relaxed controls. This allows us to give a general approximability result, which in the autonomous case has an easy to verify geometrical formulation. In the second part of the paper, we consider non-approximable sliding mode control systems. In the flavour of regularization of ill-posed problems, we propose a method of selection of well-behaved approximating trajectories converging to a prescribed ideal sliding","Actuators, Adaptive control, Books, Constraint theory, Control systems, Delay, Differential equations, Motion control, Nonlinear control systems, Sliding mode control"
104,Image classification and retrieval with kernel methods,2006,"Odone F., Verri A.","Kernel Methods in Bioengineering, Signal and Image Processing",https://doi.org/10.4018/978-1-59904-042-4.ch014,"MLV, PiMLB","In this chapter we review some kernel methods useful for image classification and retrieval applications. Starting from the problem of constructing appropriate image representations, we describe in depth and comment on the main properties of various kernel engineering approaches that have been recen...",
105,On a variational problem of Ulam,2006,Villa S.,IFIP International Federation for Information Processing,https://doi.org/10.1007/0-387-33882-9_29,LCSL,"Using the concept of well-posedness under perturbations we give an answer to the following question posed by Stanislaw Ulam : “when it is true that solutions of two problems in the calculus of variations which corresponds to “close” physical data must be close to each other?”(“A collection of mathematical problems”, 1960).","bounded Hausdorff convergence, integral functionals, well-posedness"
106,Proteome profiling without selection bias,2006,"Barla A., Irler B., Merler S., Jurman G., Paoli S., Furlanello C.",Proceedings - IEEE Symposium on Computer-Based Medical Systems,https://doi.org/10.1109/CBMS.2006.134,LCSL,"In this paper, we present a method for predictive profiling of mass spectrometry data. The method integrates a spectra preprocessing pipeline with a complete validation setup aimed at identifying the discriminating peaks and at providing an unbiased estimate of the predictive classification error, based on SVM classifiers and on entropy-based RFE procedure. A particular emphasis is placed upon avoiding selection bias effects throughout all the analysis steps, from preprocessing to peak importance ranking","Biomarkers, Data preprocessing, Grid computing, Ionization, Mass spectroscopy, Pipelines, Proposals, Proteomics, Support vector machine classification, Support vector machines"
107,Shape categorization using string kernels,2006,"Daliri M.R., Delponte E., Verri A., Torre V.",Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),https://doi.org/10.1007/11815921_32,PiMLB,"In this paper, a novel algorithm for shape categorization is proposed. This method is based on the detection of perceptual landmarks, which are scale invariant. These landmarks and the parts between them are transformed into a symbolic representation. Shapes are mapped into symbol sequences and a database of shapes is mapped into a set of symbol sequences and therefore it is possible to use support vector machines for categorization. The method here proposed has been evaluated on silhouettes database and achieved the highest recognition result reported with a score of 97.85% for the MPEG-7 shape database.","Feature Space, Support Vector Machine, Symbolic Representation, Tangent Vector, Text Categorization"
108,Trains of keypoints for 3D object recognition,2006,"Arnaud E., Delponte E., Odone F., Verri A.",Proceedings - International Conference on Pattern Recognition,https://doi.org/10.1109/ICPR.2006.1133,"MLV, PiMLB","This paper presents a 3D object recognition method that exploits the spatio-temporal coherence of image sequences to capture the object most relevant features. We start from an image sequence that describes the object's visual appearance from different view points. We extract local features (SIFT) and track them over the sequence. The tracked interest points form trains of features that are used to build a vocabulary for the object. Training images are represented with respect to that vocabulary and an SVM classifier is trained to recognize the object. We present very promising results on a dataset of 11 objects. Tests are performed under varying illumination, scale, and scene clutter","Feature extraction, Image recognition, Image sequences, Lighting, Object recognition, Performance evaluation, Support vector machine classification, Support vector machines, Testing, Vocabulary"
109,A grid environment for high-throughput proteomics,2007,"Cannataro M., Barla A., Flor R., Jurman G., Merler S., Paoli S., Tradigo G., Veltri P., Furlanello C.",IEEE Transactions on Nanobioscience,https://doi.org/10.1109/TNB.2007.897495,LCSL,"We connect in a grid-enabled pipeline an ontology-based environment for proteomics spectra management with a machine learning platform for unbiased predictive analysis. We exploit two existing software platforms (MS-Analyzer and BioDCV), the emerging proteomics standards, and the middleware and computing resources of the EGEE Biomed VO grid infrastructure. In the setup, BioDCV is accessed by the MS-Analyzer workflow as a Web service, thus providing a complete grid environment for proteomics data analysis. Predictive classification studies on MALDI-TOF data based on this environment are presented.","Biomarker discovery, Biomedical computing, Environmental management, feature ranking, Grid computing, grid problem solving environment, machine learning, Machine learning, mass spectrometry, Middleware, Ontologies, ontology, Pipelines, predictive classification, proteomics, Proteomics, Software standards, Web services, workflow"
110,A regularized approach to feature selection for face detection,2007,"Destrero A., De Mol C., Odone F., Verri A.",Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),https://doi.org/10.1007/978-3-540-76390-1_86,"MLV, PiMLB","In this paper we present a trainable method for selecting features from an overcomplete dictionary of measurements. The starting point is a thresholded version of the Landweber algorithm for providing a sparse solution to a linear system of equations. We consider the problem of face detection and adopt rectangular features as an initial representation for allowing straightforward comparisons with existing techniques. For computational efficiency and memory requirements, instead of implementing the full optimization scheme on tenths of thousands of features, we propose to first solve a number of smaller size optimization problems obtained by randomly sub-sampling the feature vector, and then recombining the selected features. The obtained set is still highly redundant, so we further apply feature selection. The final feature selection system is an efficient two-stages architecture. Experimental results of an optimized version of the method on face images and image sequences indicate that this method is a serious competitor of other feature selection schemes recently popularized in computer vision for dealing with problems of real time object detection.","Face Detection, Face Detection System, Feature Selection, Overcomplete Dictionary, Regularize Approach"
